#TYPE System.Diagnostics.Eventing.Reader.EventLogRecord
"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"Not continuing with pull after error: errors:
denied: requested access to the resource is denied
unauthorized: authentication required
","1",,"0","2","0",,"36028797018963968","443903","docker",,"Application",,,"MININT-2T87D76.northamerica.corp.microsoft.com",,"1/13/2018 9:35:16 AM",,,"application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Handler for POST /v1.35/containers/ad4a58680c621d31d95e44e0d3d8d9cf7b2ec45176a5bd832b2517792a11c106/start returned error: container ad4a58680c621d31d95e44e0d3d8d9cf7b2ec45176a5bd832b2517792a11c106 encountered an error during CreateProcess: failure in a Windows system call: Access is denied. (0x5) extra info: {""CommandLine"":""/app Piraeus.Silo.exe"",""WorkingDirectory"":""C:\\app"",""EmulateConsole"":true,""CreateStdInPipe"":true,""CreateStdOutPipe"":true,""ConsoleSize"":[50,162]}","1",,"0","2","0",,"36028797018963968","442146","docker",,"Application",,,"MININT-2T87D76.northamerica.corp.microsoft.com",,"1/13/2018 9:04:20 AM",,,"application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"ad4a58680c621d31d95e44e0d3d8d9cf7b2ec45176a5bd832b2517792a11c106 cleanup: failed to delete container from containerd: no such container","1",,"0","2","0",,"36028797018963968","442145","docker",,"Application",,,"MININT-2T87D76.northamerica.corp.microsoft.com",,"1/13/2018 9:04:20 AM",,,"application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"CreateProcess() failed [namespace=moby container=ad4a58680c621d31d95e44e0d3d8d9cf7b2ec45176a5bd832b2517792a11c106 error=container ad4a58680c621d31d95e44e0d3d8d9cf7b2ec45176a5bd832b2517792a11c106 encountered an error during CreateProcess: failure in a Windows system call: Access is denied. (0x5) extra info: {""CommandLine"":""/app Piraeus.Silo.exe"",""WorkingDirectory"":""C:\\app"",""EmulateConsole"":true,""CreateStdInPipe"":true,""CreateStdOutPipe"":true,""ConsoleSize"":[50,162]} module=libcontainerd]","11",,"0","2","0",,"36028797018963968","442133","docker",,"Application",,,"MININT-2T87D76.northamerica.corp.microsoft.com",,"1/13/2018 9:04:17 AM",,,"application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Handler for POST /v1.25/containers/b06c646d02c771d0f63a3f46a6bf3495ba9c6995e1430c1bdd3c8f319618335e/start returned error: container b06c646d02c771d0f63a3f46a6bf3495ba9c6995e1430c1bdd3c8f319618335e encountered an error during CreateProcess: failure in a Windows system call: Access is denied. (0x5) extra info: {""CommandLine"":""/app Piraeus.Silo.exe"",""WorkingDirectory"":""C:\\app"",""CreateStdInPipe"":true,""CreateStdOutPipe"":true,""CreateStdErrPipe"":true,""ConsoleSize"":[0,0]}","1",,"0","2","0",,"36028797018963968","441985","docker",,"Application",,,"MININT-2T87D76.northamerica.corp.microsoft.com",,"1/13/2018 8:50:38 AM",,,"application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"b06c646d02c771d0f63a3f46a6bf3495ba9c6995e1430c1bdd3c8f319618335e cleanup: failed to delete container from containerd: no such container","1",,"0","2","0",,"36028797018963968","441984","docker",,"Application",,,"MININT-2T87D76.northamerica.corp.microsoft.com",,"1/13/2018 8:50:38 AM",,,"application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"CreateProcess() failed [module=libcontainerd namespace=moby container=b06c646d02c771d0f63a3f46a6bf3495ba9c6995e1430c1bdd3c8f319618335e error=container b06c646d02c771d0f63a3f46a6bf3495ba9c6995e1430c1bdd3c8f319618335e encountered an error during CreateProcess: failure in a Windows system call: Access is denied. (0x5) extra info: {""CommandLine"":""/app Piraeus.Silo.exe"",""WorkingDirectory"":""C:\\app"",""CreateStdInPipe"":true,""CreateStdOutPipe"":true,""CreateStdErrPipe"":true,""ConsoleSize"":[0,0]}]","11",,"0","2","0",,"36028797018963968","441970","docker",,"Application",,,"MININT-2T87D76.northamerica.corp.microsoft.com",,"1/13/2018 8:50:35 AM",,,"application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Handler for POST /containers/docker_webgateway_1/unpause returned error: Container 8e4ec25ec782623e7ed06214382692b8c8e1035f262542047d7f09dcbcbe7e84 is not paused","1",,"0","2","0",,"36028797018963968","440389","docker",,"Application",,,"MININT-2T87D76.northamerica.corp.microsoft.com",,"1/12/2018 5:44:33 PM",,,"application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Handler for POST /containers/docker_tcpudpgateway_1/unpause returned error: Container 69407fd5ee2506d534ba8f3258139da35c7f838a9b86ea53e3674f2b0ce95741 is not paused","1",,"0","2","0",,"36028797018963968","440363","docker",,"Application",,,"MININT-2T87D76.northamerica.corp.microsoft.com",,"1/12/2018 5:44:30 PM",,,"application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Handler for POST /containers/docker_orleans-silo_1/unpause returned error: Container 04563e842029b6a357e4dfcafc4b178d39660a8360d7a44bb3f10272c4462e10 is not paused","1",,"0","2","0",,"36028797018963968","440334","docker",,"Application",,,"MININT-2T87D76.northamerica.corp.microsoft.com",,"1/12/2018 5:44:27 PM",,,"application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Handler for DELETE /v1.35/containers/8e4 returned error: Multiple IDs found with provided prefix: 8e4ec25ec782623e7ed06214382692b8c8e1035f262542047d7f09dcbcbe7e84","1",,"0","2","0",,"36028797018963968","440090","docker",,"Application",,,"MININT-2T87D76.northamerica.corp.microsoft.com",,"1/12/2018 5:24:16 PM",,,"application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Handler for DELETE /v1.35/containers/8e4 returned error: Multiple IDs found with provided prefix: 8e4ec25ec782623e7ed06214382692b8c8e1035f262542047d7f09dcbcbe7e84","1",,"0","2","0",,"36028797018963968","440047","docker",,"Application",,,"MININT-2T87D76.northamerica.corp.microsoft.com",,"1/12/2018 5:23:40 PM",,,"application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Not continuing with pull after error: errors:
denied: requested access to the resource is denied
unauthorized: authentication required
","1",,"0","2","0",,"36028797018963968","439900","docker",,"Application",,,"MININT-2T87D76.northamerica.corp.microsoft.com",,"1/12/2018 5:21:31 PM",,,"application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Handler for POST /v1.35/networks/nat/disconnect returned error: windows does not support connecting a running container to a network","1",,"0","2","0",,"36028797018963968","439804","docker",,"Application",,,"MININT-2T87D76.northamerica.corp.microsoft.com",,"1/12/2018 5:18:07 PM",,,"application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Not continuing with pull after error: errors:
denied: requested access to the resource is denied
unauthorized: authentication required
","1",,"0","2","0",,"36028797018963968","439676","docker",,"Application",,,"MININT-2T87D76.northamerica.corp.microsoft.com",,"1/12/2018 5:17:04 PM",,,"application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Unable to locate plugin: bridge, retrying in 8s","1",,"0","3","0",,"36028797018963968","438179","docker",,"Application",,,"MININT-2T87D76.northamerica.corp.microsoft.com",,"1/12/2018 5:09:59 PM",,,"application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Unable to locate plugin: bridge, retrying in 4s","1",,"0","3","0",,"36028797018963968","438178","docker",,"Application",,,"MININT-2T87D76.northamerica.corp.microsoft.com",,"1/12/2018 5:09:55 PM",,,"application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Unable to locate plugin: bridge, retrying in 2s","1",,"0","3","0",,"36028797018963968","438177","docker",,"Application",,,"MININT-2T87D76.northamerica.corp.microsoft.com",,"1/12/2018 5:09:53 PM",,,"application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Unable to locate plugin: bridge, retrying in 1s","1",,"0","3","0",,"36028797018963968","438176","docker",,"Application",,,"MININT-2T87D76.northamerica.corp.microsoft.com",,"1/12/2018 5:09:52 PM",,,"application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Unable to locate plugin: bridge, retrying in 8s","1",,"0","3","0",,"36028797018963968","438166","docker",,"Application",,,"MININT-2T87D76.northamerica.corp.microsoft.com",,"1/12/2018 5:09:20 PM",,,"application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Unable to locate plugin: bridge, retrying in 4s","1",,"0","3","0",,"36028797018963968","438165","docker",,"Application",,,"MININT-2T87D76.northamerica.corp.microsoft.com",,"1/12/2018 5:09:16 PM",,,"application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Unable to locate plugin: bridge, retrying in 2s","1",,"0","3","0",,"36028797018963968","438164","docker",,"Application",,,"MININT-2T87D76.northamerica.corp.microsoft.com",,"1/12/2018 5:09:14 PM",,,"application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
